,id,quality,type,value,percentage,order
0,FQ3,Specificity,Strongly disagree,3,60,1
1,FQ3,Specificity,Disagree,0,0,2
2,FQ3,Specificity,Neutral,0,0,3
3,FQ3,Specificity,Agree,2,40,4
4,FQ3,Specificity,Strongly agree,0,0,5
5,FQ3,Usefulness,Strongly disagree,0,0,1
6,FQ3,Usefulness,Disagree,0,0,2
7,FQ3,Usefulness,Neutral,2,40,3
8,FQ3,Usefulness,Agree,2,40,4
9,FQ3,Usefulness,Strongly agree,1,20,5
10,FQ3,New Information,No,0,0,1
11,FQ3,New Information,Yes,5,100,2
12,FQ5,Specificity,Strongly disagree,1,25,1
13,FQ5,Specificity,Disagree,3,75,2
14,FQ5,Specificity,Neutral,0,0,3
15,FQ5,Specificity,Agree,0,0,4
16,FQ5,Specificity,Strongly agree,0,0,5
17,FQ5,Usefulness,Strongly disagree,1,25,1
18,FQ5,Usefulness,Disagree,1,25,2
19,FQ5,Usefulness,Neutral,1,25,3
20,FQ5,Usefulness,Agree,1,25,4
21,FQ5,Usefulness,Strongly agree,0,0,5
22,FQ5,New Information,No,1,25,1
23,FQ5,New Information,Yes,3,75,2
24,FQ6,Specificity,Strongly disagree,2,50,1
25,FQ6,Specificity,Disagree,0,0,2
26,FQ6,Specificity,Neutral,1,25,3
27,FQ6,Specificity,Agree,1,25,4
28,FQ6,Specificity,Strongly agree,0,0,5
29,FQ6,Usefulness,Strongly disagree,0,0,1
30,FQ6,Usefulness,Disagree,0,0,2
31,FQ6,Usefulness,Neutral,2,50,3
32,FQ6,Usefulness,Agree,1,25,4
33,FQ6,Usefulness,Strongly agree,1,25,5
34,FQ6,New Information,No,0,0,1
35,FQ6,New Information,Yes,4,100,2
36,FQ8,Specificity,Strongly disagree,0,0,1
37,FQ8,Specificity,Disagree,0,0,2
38,FQ8,Specificity,Neutral,1,25,3
39,FQ8,Specificity,Agree,1,25,4
40,FQ8,Specificity,Strongly agree,2,50,5
41,FQ8,Usefulness,Strongly disagree,0,0,1
42,FQ8,Usefulness,Disagree,0,0,2
43,FQ8,Usefulness,Neutral,1,25,3
44,FQ8,Usefulness,Agree,1,25,4
45,FQ8,Usefulness,Strongly agree,2,50,5
46,FQ8,New Information,No,0,0,1
47,FQ8,New Information,Yes,4,100,2
48,FQ9,Specificity,Strongly disagree,0,0,1
49,FQ9,Specificity,Disagree,0,0,2
50,FQ9,Specificity,Neutral,0,0,3
51,FQ9,Specificity,Agree,2,50,4
52,FQ9,Specificity,Strongly agree,2,50,5
53,FQ9,Usefulness,Strongly disagree,0,0,1
54,FQ9,Usefulness,Disagree,0,0,2
55,FQ9,Usefulness,Neutral,1,25,3
56,FQ9,Usefulness,Agree,2,50,4
57,FQ9,Usefulness,Strongly agree,1,25,5
58,FQ9,New Information,No,1,25,1
59,FQ9,New Information,Yes,3,75,2
60,FQ14,Specificity,Strongly disagree,0,0,1
61,FQ14,Specificity,Disagree,0,0,2
62,FQ14,Specificity,Neutral,1,20,3
63,FQ14,Specificity,Agree,2,40,4
64,FQ14,Specificity,Strongly agree,2,40,5
65,FQ14,Usefulness,Strongly disagree,0,0,1
66,FQ14,Usefulness,Disagree,0,0,2
67,FQ14,Usefulness,Neutral,1,20,3
68,FQ14,Usefulness,Agree,1,20,4
69,FQ14,Usefulness,Strongly agree,3,60,5
70,FQ14,New Information,No,0,0,1
71,FQ14,New Information,Yes,5,100,2
72,FQ17,Specificity,Strongly disagree,0,0,1
73,FQ17,Specificity,Disagree,1,25,2
74,FQ17,Specificity,Neutral,1,25,3
75,FQ17,Specificity,Agree,1,25,4
76,FQ17,Specificity,Strongly agree,1,25,5
77,FQ17,Usefulness,Strongly disagree,0,0,1
78,FQ17,Usefulness,Disagree,0,0,2
79,FQ17,Usefulness,Neutral,1,25,3
80,FQ17,Usefulness,Agree,2,50,4
81,FQ17,Usefulness,Strongly agree,1,25,5
82,FQ17,New Information,No,1,25,1
83,FQ17,New Information,Yes,4,75,2
84,FQ18,Specificity,Strongly disagree,0,0,1
85,FQ18,Specificity,Disagree,1,25,2
86,FQ18,Specificity,Neutral,1,25,3
87,FQ18,Specificity,Agree,1,25,4
88,FQ18,Specificity,Strongly agree,1,25,5
89,FQ18,Usefulness,Strongly disagree,0,0,1
90,FQ18,Usefulness,Disagree,0,0,2
91,FQ18,Usefulness,Neutral,0,0,3
92,FQ18,Usefulness,Agree,2,50,4
93,FQ18,Usefulness,Strongly agree,2,50,5
94,FQ18,New Information,No,0,0,1
95,FQ18,New Information,Yes,4,100,2
96,FQ19,Specificity,Strongly disagree,0,0,1
97,FQ19,Specificity,Disagree,1,25,2
98,FQ19,Specificity,Neutral,0,0,3
99,FQ19,Specificity,Agree,3,75,4
100,FQ19,Specificity,Strongly agree,0,0,5
101,FQ19,Usefulness,Strongly disagree,0,0,1
102,FQ19,Usefulness,Disagree,0,0,2
103,FQ19,Usefulness,Neutral,0,0,3
104,FQ19,Usefulness,Agree,3,75,4
105,FQ19,Usefulness,Strongly agree,1,25,5
106,FQ19,New Information,No,0,0,1
107,FQ19,New Information,Yes,4,100,2
132,FQ22,Specificity,Strongly disagree,0,0,1
133,FQ22,Specificity,Disagree,0,0,2
134,FQ22,Specificity,Neutral,0,0,3
135,FQ22,Specificity,Agree,3,60,4
136,FQ22,Specificity,Strongly agree,2,40,5
137,FQ22,Usefulness,Strongly disagree,0,0,1
138,FQ22,Usefulness,Disagree,0,0,2
139,FQ22,Usefulness,Neutral,0,0,3
140,FQ22,Usefulness,Agree,3,60,4
141,FQ22,Usefulness,Strongly agree,2,40,5
142,FQ22,New Information,No,0,0,1
143,FQ22,New Information,Yes,5,100,2
144,FQ2,Specificity,Strongly disagree,0,0,1
145,FQ2,Specificity,Disagree,1,33.33,2
146,FQ2,Specificity,Neutral,1,33.33,3
147,FQ2,Specificity,Agree,1,33.34,4
148,FQ2,Specificity,Strongly agree,0,0,5
149,FQ2,Usefulness,Strongly disagree,0,0,1
150,FQ2,Usefulness,Disagree,0,0,2
151,FQ2,Usefulness,Neutral,0,0,3
152,FQ2,Usefulness,Agree,3,100,4
153,FQ2,Usefulness,Strongly agree,0,0,5
154,FQ2,New Information,No,1,33.33,1
155,FQ2,New Information,Yes,2,66.67,2
156,FQ12,Specificity,Strongly disagree,0,0,1
157,FQ12,Specificity,Disagree,0,0,2
158,FQ12,Specificity,Neutral,1,33.33,3
159,FQ12,Specificity,Agree,2,66.67,4
160,FQ12,Specificity,Strongly agree,0,0,5
170,FQ12,Usefulness,Strongly disagree,0,0,1
171,FQ12,Usefulness,Disagree,0,0,2
172,FQ12,Usefulness,Neutral,1,33.33,3
173,FQ12,Usefulness,Agree,2,66.67,4
174,FQ12,Usefulness,Strongly agree,0,0,5
175,FQ12,New Information,No,0,0,1
176,FQ12,New Information,Yes,3,100,2
177,FQ10,Specificity,Strongly disagree,0,0,1
178,FQ10,Specificity,Disagree,1,0,2
179,FQ10,Specificity,Neutral,1,33.33,3
180,FQ10,Specificity,Agree,0,33.33,4
181,FQ10,Specificity,Strongly agree,1,33.34,5
182,FQ10,Usefulness,Strongly disagree,0,0,1
183,FQ10,Usefulness,Disagree,1,33.33,2
184,FQ10,Usefulness,Neutral,1,33.33,3
185,FQ10,Usefulness,Agree,0,0,4
186,FQ10,Usefulness,Strongly agree,1,33.34,5
187,FQ10,New Information,No,1,33.33,1
188,FQ10,New Information,Yes,2,66.67,2